2025-09-30 17:50:57 | ERROR | __main__:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d0726000>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:57 | INFO | __main__:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:50:57 | ERROR | __main__:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d076ab10>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:57 | WARNING | __main__:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:50:59 | ERROR | __main__:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d076a660>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:59 | INFO | __main__:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:50:59 | ERROR | __main__:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d076a2a0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:50:59 | WARNING | __main__:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:51:03 | ERROR | __main__:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d076a0f0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:51:03 | ERROR | __main__:_make_request:151 | Failed to fetch data after 3 attempts
2025-09-30 17:51:03 | ERROR | __main__:get_options_chain:205 | Invalid options chain response format
2025-09-30 17:51:03 | INFO | __main__:calculate_historical_volatility:335 | Calculating historical volatility for 30 days
2025-09-30 17:51:03 | INFO | __main__:get_options_chain:195 | Fetching options chain for NIFTY
2025-09-30 17:51:03 | INFO | __main__:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:51:03 | ERROR | __main__:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d0768ad0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:51:03 | WARNING | __main__:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:51:03 | ERROR | __main__:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d07691c0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:51:03 | INFO | __main__:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:51:03 | ERROR | __main__:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d076b5f0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:51:03 | WARNING | __main__:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:51:05 | ERROR | __main__:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d076ba10>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:51:05 | INFO | __main__:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:51:05 | ERROR | __main__:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d076be60>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:51:05 | WARNING | __main__:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:51:09 | ERROR | __main__:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/option-chain-indices?symbol=NIFTY (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fe2d05b02f0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:51:09 | ERROR | __main__:_make_request:151 | Failed to fetch data after 3 attempts
2025-09-30 17:51:09 | ERROR | __main__:get_options_chain:205 | Invalid options chain response format
2025-09-30 17:51:09 | WARNING | __main__:calculate_historical_volatility:341 | Using default volatility: 15%
2025-09-30 17:55:55 | INFO | nse_data_fetcher:__init__:63 | NSE Data Fetcher initialized
2025-09-30 17:55:55 | INFO | __main__:__init__:148 | NSE Finance API client initialized
2025-09-30 17:55:55 | INFO | __main__:__init__:222 | NIFTY Options Chain generator initialized
2025-09-30 17:55:55 | INFO | __main__:generate_options_chain:272 | Generating NIFTY options chain with NSE data
2025-09-30 17:55:55 | INFO | __main__:get_nifty_price:153 | Fetching NIFTY price from NSE India
2025-09-30 17:55:55 | INFO | nse_data_fetcher:get_nifty_spot_price:162 | Fetching NIFTY 50 spot price from NSE
2025-09-30 17:55:55 | INFO | nse_data_fetcher:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:55:55 | ERROR | nse_data_fetcher:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb9657147d0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:55:55 | WARNING | nse_data_fetcher:_make_request:116 | Failed to refresh cookies, attempting request anyway
